,Address,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
721,"Okhla, New Delhi India",Bookstore,Chinese Restaurant,Indian Restaurant,Mobile Phone Shop,Coffee Shop,Business Service,Zoo Exhibit,Financial or Legal Service,Film Studio,Filipino Restaurant
722,"Old Town, New York City US",Italian Restaurant,Optical Shop,Pharmacy,American Restaurant,Grocery Store,Video Store,Liquor Store,Pizza Place,Market,Flower Shop
723,"Olinville, New York City US",Caribbean Restaurant,Supermarket,Chinese Restaurant,Fried Chicken Joint,Deli / Bodega,Basketball Court,Food,Laundromat,Farmers Market,Film Studio
724,"One Tree Hill, Auckland City New Zealand",Café,Plaza,Park,Cricket Ground,Playground,Gastropub,Doctor's Office,Fish & Chips Shop,Athletics & Sports,Planetarium
725,"Onehunga, Auckland City New Zealand",Café,Clothing Store,Pizza Place,Theater,Lingerie Store,Grocery Store,Pool,Bookstore,Park,Sporting Goods Shop
726,"Oneroa, Auckland City New Zealand",Café,Fish & Chips Shop,Beach,Coffee Shop,Brewery,Seafood Restaurant,Art Gallery,Ice Cream Shop,Pizza Place,Movie Theater
727,"Onetangi, Auckland City New Zealand",Hostel,Beach,Restaurant,Pub,Café,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
728,"Opawa, Christchurch New Zealand",Farmers Market,Café,Park,Skating Rink,Supermarket,Zoo Exhibit,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
729,"Orakei, Auckland City New Zealand",Train Station,Park,Café,Comfort Food Restaurant,Trail,Garden Center,Deli / Bodega,Modern European Restaurant,Grocery Store,Shopping Mall
730,"Oranga, Auckland City New Zealand",Fast Food Restaurant,Asian Restaurant,Paper / Office Supplies Store,Electronics Store,Tea Room,Convenience Store,Zoo Exhibit,Financial or Legal Service,Film Studio,Filipino Restaurant
731,"Ostend, Auckland City New Zealand",Furniture / Home Store,Grocery Store,Flea Market,Café,Fast Food Restaurant,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Farmers Market
732,"Otahuhu, Auckland City New Zealand",Vietnamese Restaurant,Fast Food Restaurant,Grocery Store,Food Court,Thai Restaurant,Recreation Center,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
733,"Owairaka, Auckland City New Zealand",Park,Restaurant,Asian Restaurant,Café,Grocery Store,Gym / Fitness Center,Soccer Field,Ethiopian Restaurant,History Museum,Electronics Store
734,"Oxley, Brisbane",Bus Station,Coffee Shop,Train Station,Italian Restaurant,Supermarket,Golf Course,Café,Film Studio,Filipino Restaurant,Field
735,"Ozone Park, New York City US",Pizza Place,Gym,Pharmacy,Diner,Bank,Gym / Fitness Center,Shop & Service,Mattress Store,Bus Station,Mobile Phone Shop
736,"Pacific Palisades, Los Angeles US",Coffee Shop,Ice Cream Shop,Supermarket,Sushi Restaurant,Pharmacy,Chinese Restaurant,Café,American Restaurant,Italian Restaurant,Gym
737,"Pacoima, Los Angeles US",Mexican Restaurant,Middle Eastern Restaurant,Burger Joint,Fast Food Restaurant,Farm,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Farmers Market
738,"Paddington, Brisbane",Café,Italian Restaurant,Coffee Shop,Swim School,Wine Shop,Pizza Place,Park,Laundromat,Indian Restaurant,Himalayan Restaurant
739,"Paddington, Sydney",Café,Bar,Italian Restaurant,Pub,Cricket Ground,Australian Restaurant,Wine Bar,Coffee Shop,Mexican Restaurant,Seafood Restaurant
740,"Paerdegat Basin, New York City US",Moving Target,Auto Garage,Asian Restaurant,Food,Harbor / Marina,Gym,Farm,Farmers Market,Falafel Restaurant,Fish Market
741,"Paharganj, New Delhi India",Hotel,Indian Restaurant,Café,Fast Food Restaurant,Bakery,Indian Chinese Restaurant,Falafel Restaurant,Food,Tibetan Restaurant,Breakfast Spot
742,"Palam, New Delhi India",Indian Restaurant,Bar,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farm
743,"Palm Beach, Auckland City New Zealand",Beach,Fish & Chips Shop,Resort,Zoo Exhibit,Farmers Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
744,"Palms, Los Angeles US",Grocery Store,Café,Indonesian Restaurant,Italian Restaurant,Ramen Restaurant,Spa,Vietnamese Restaurant,Video Store,Playground,Organic Grocery
745,"Pandav Nagar, New Delhi India",Indian Restaurant,Light Rail Station,Arcade,Movie Theater,Fishing Spot,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
746,"Panjiayuan Station, Beijing China",Chinese Restaurant,Steakhouse,Asian Restaurant,Motel,BBQ Joint,Korean Restaurant,Park,Café,Zoo Exhibit,Film Studio
747,"Panmure, Auckland City New Zealand",Furniture / Home Store,Shoe Store,Chinese Restaurant,Performing Arts Venue,Grocery Store,Sporting Goods Shop,Malay Restaurant,Gym,Gym / Fitness Center,Dessert Shop
748,"Panorama City, Los Angeles US",Mobile Phone Shop,Shoe Store,Mexican Restaurant,Sandwich Place,Pharmacy,Fast Food Restaurant,Filipino Restaurant,Snack Place,Bank,Supplement Shop
749,"Papanui, Christchurch New Zealand",Asian Restaurant,Thai Restaurant,Steakhouse,Electronics Store,Café,Fast Food Restaurant,Grocery Store,Egyptian Restaurant,Shopping Mall,Chinese Restaurant
750,"Park Hill, New York City US",Bus Stop,Athletics & Sports,Gym / Fitness Center,Coffee Shop,Hotel,Farmers Market,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
751,"Park La Brea, Los Angeles US",Residential Building (Apartment / Condo),Art Museum,Department Store,Other Great Outdoors,Convenience Store,Park,Hotel,Historic Site,Clothing Store,Cosmetics Shop
752,"Park Slope, New York City US",Coffee Shop,Burger Joint,American Restaurant,Bagel Shop,Bakery,Pizza Place,Thai Restaurant,Pet Store,Italian Restaurant,Grocery Store
753,"Parkchester, New York City US",Supermarket,Pizza Place,Asian Restaurant,American Restaurant,Kids Store,Mattress Store,Video Game Store,Plaza,Martial Arts Dojo,Italian Restaurant
754,"Parkinson, Brisbane",Construction & Landscaping,Bus Station,Shop & Service,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Zoo Exhibit
755,"Parklands, Christchurch New Zealand",Post Office,Bar,Gastropub,Supermarket,Sandwich Place,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant
756,"Parkville, Melbourne",Zoo Exhibit,Convenience Store,Café,Hotel,Park,Coffee Shop,Sculpture Garden,Train Station,Athletics & Sports,Grocery Store
757,"Parnell, Auckland City New Zealand",Café,Coffee Shop,Pizza Place,Hotel,Thai Restaurant,Japanese Restaurant,Restaurant,Dessert Shop,Garden,Fish & Chips Shop
758,"Partap Nagar, New Delhi India",ATM,Food Court,Tourist Information Center,Fish Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
759,"Paschim Vihar, New Delhi India",Coffee Shop,Garden,BBQ Joint,Convenience Store,Zoo Exhibit,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
760,"Patel Nagar, New Delhi India",ATM,Café,Train Station,Women's Store,Farmers Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
761,"Patparganj, New Delhi India",Juice Bar,Department Store,Indian Restaurant,Coffee Shop,Exhibit,Eye Doctor,Fabric Shop,Factory,Falafel Restaurant,Event Space
762,"Pelham Bay, New York City US",Italian Restaurant,Deli / Bodega,Bank,Sandwich Place,Donut Shop,Fast Food Restaurant,Gym / Fitness Center,Convenience Store,Mexican Restaurant,BBQ Joint
763,"Pelham Gardens, New York City US",Donut Shop,Pharmacy,Bus Station,Pizza Place,Italian Restaurant,Playground,Deli / Bodega,Bank,Grocery Store,American Restaurant
764,"Pelham Parkway, New York City US",Chinese Restaurant,Pizza Place,Italian Restaurant,Bus Station,Track,Donut Shop,Plaza,Coffee Shop,Sandwich Place,Bank
765,"Penrose, Auckland City New Zealand",Café,Electronics Store,Asian Restaurant,Food & Drink Shop,Paper / Office Supplies Store,Outdoors & Recreation,Football Stadium,Rental Car Location,Fast Food Restaurant,Film Studio
766,"Petrie Terrace, Brisbane",Hostel,Indian Restaurant,Vietnamese Restaurant,Beer Garden,Australian Restaurant,Bike Rental / Bike Share,Multiplex,Tapas Restaurant,Tibetan Restaurant,Shopping Mall
767,"Phillipstown, Christchurch New Zealand",Café,Fast Food Restaurant,Bakery,Pizza Place,Park,Fish & Chips Shop,Video Game Store,Hostel,Sandwich Place,Paper / Office Supplies Store
768,"Pico-Union, Los Angeles US",Fast Food Restaurant,Taco Place,Ice Cream Shop,Convenience Store,Pizza Place,South American Restaurant,Food,Food Truck,Bus Station,Music Venue
769,"Ping'anli, Beijing China",Hotel,Chinese Restaurant,Metro Station,Hostel,Mexican Restaurant,Tea Room,Bookstore,Museum,Beijing Restaurant,Beer Bar
770,"Pinjarra Hills, Brisbane",Bus Station,Zoo Exhibit,Fishing Spot,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
771,"Pinkenba, Brisbane",Bakery,Pub,Farmers Market,Fish Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
772,"Pitam Pura, New Delhi India",Furniture / Home Store,Fried Chicken Joint,Indian Restaurant,French Restaurant,Fish & Chips Shop,Event Service,Event Space,Exhibit,Eye Doctor,Fabric Shop
773,"Playa Vista, Los Angeles US",Gym / Fitness Center,Dog Run,Pharmacy,Mobile Phone Shop,Coffee Shop,Electronics Store,Mediterranean Restaurant,Bank,Hawaiian Restaurant,Mexican Restaurant
774,"Playa del Rey, Los Angeles US",Pharmacy,Pizza Place,Speakeasy,Shipping Store,Donut Shop,Park,Gym / Fitness Center,Sandwich Place,Flower Shop,Liquor Store
775,"Pleasant Plains, New York City US",Pizza Place,Donut Shop,Deli / Bodega,Bank,Bakery,Food,Ice Cream Shop,Fast Food Restaurant,Toll Plaza,Discount Store
776,"Point Chevalier, Auckland City New Zealand",Café,Thai Restaurant,Chinese Restaurant,Bakery,Park,Fast Food Restaurant,Bar,Pizza Place,Video Store,Bistro
777,"Point England, Auckland City New Zealand",Train Station,Gym / Fitness Center,Pool,Park,Fast Food Restaurant,Zoo Exhibit,Farmers Market,Filipino Restaurant,Field,Farm
778,"Pomonok, New York City US",Bowling Alley,Japanese Restaurant,Bar,Playground,Supermarket,Scenic Lookout,Bus Station,Park,Shop & Service,Pizza Place
779,"Ponsonby, Auckland City New Zealand",Café,Italian Restaurant,Restaurant,Food Court,Japanese Restaurant,Pizza Place,Shopping Mall,French Restaurant,Burger Joint,Supermarket
780,"Port Ivory, New York City US",Business Service,Zoo Exhibit,Fishing Spot,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
781,"Port Melbourne, Melbourne",Beach,Café,Fast Food Restaurant,Lake,Gym,Australian Restaurant,Go Kart Track,Park,Sandwich Place,Building
782,"Port Morris, New York City US",Furniture / Home Store,Metro Station,Restaurant,Brewery,Peruvian Restaurant,Food Truck,Chinese Restaurant,Spanish Restaurant,Donut Shop,Latin American Restaurant
783,"Port Richmond, New York City US",Bar,Deli / Bodega,Donut Shop,Playground,Rental Car Location,Mexican Restaurant,Fabric Shop,Factory,Eye Doctor,Falafel Restaurant
784,"Port of Brisbane, Brisbane",Harbor / Marina,Zoo Exhibit,Fruit & Vegetable Store,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
785,"Porter Ranch, Los Angeles US",Gym,Zoo Exhibit,Fruit & Vegetable Store,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
786,"Potts Point, Sydney",Café,Italian Restaurant,Australian Restaurant,Hotel,Chinese Restaurant,Park,Burger Joint,Sushi Restaurant,Monument / Landmark,Thai Restaurant
787,"Prabhadevi, Mumbai City India",Indian Restaurant,Café,Electronics Store,Bakery,Chinese Restaurant,Food,Sandwich Place,Scenic Lookout,Multiplex,Gourmet Shop
788,"Pragati Maidan, New Delhi India",Art Gallery,Hotel,Light Rail Station,Plaza,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
789,"Preet Vihar, New Delhi India",Fast Food Restaurant,Chinese Restaurant,Arcade,BBQ Joint,Pizza Place,South Indian Restaurant,Ice Cream Shop,Zoo Exhibit,Farmers Market,Film Studio
790,"Prince's Bay, New York City US",Pizza Place,Bank,Bagel Shop,Pharmacy,Construction & Landscaping,Liquor Store,Sushi Restaurant,Pet Store,Event Space,Exhibit
791,"Prospect Heights, New York City US",Mexican Restaurant,Bar,Café,Cocktail Bar,Thai Restaurant,Pizza Place,Ice Cream Shop,Wine Bar,Wine Shop,Bakery
792,"Prospect Lefferts Gardens, New York City US",Deli / Bodega,Café,Bakery,Pizza Place,Caribbean Restaurant,Ice Cream Shop,Indian Restaurant,Wine Shop,Sushi Restaurant,Spanish Restaurant
793,"Prospect Park South, New York City US",Caribbean Restaurant,Pizza Place,Fast Food Restaurant,Grocery Store,Mobile Phone Shop,Donut Shop,Fried Chicken Joint,Latin American Restaurant,Mexican Restaurant,Bank
794,"Pudong New District, Shanghai China",Hotel,Theme Park Ride / Attraction,Coffee Shop,Hotel Bar,Bakery,Lounge,Grocery Store,Shopping Mall,New American Restaurant,Indian Restaurant
795,"Pullenvale, Brisbane",Café,Liquor Store,Zoo Exhibit,Fast Food Restaurant,Fish Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
796,"Punjabi Bagh, New Delhi India",Fast Food Restaurant,Bakery,Sandwich Place,Pizza Place,Gym / Fitness Center,Bar,Garden Center,Forest,Filipino Restaurant,Event Service
797,"Putuo District, Shanghai China",Hotel,Bakery,Bistro,Coffee Shop,Dumpling Restaurant,Cocktail Bar,Hotpot Restaurant,Japanese Restaurant,Italian Restaurant,Lounge
798,"Pyrmont, Sydney",Café,Italian Restaurant,Park,Seafood Restaurant,Bar,Australian Restaurant,Japanese Restaurant,Hotel,Malay Restaurant,Fish Market
799,"Qianmen, Beijing China",Hotel,Fast Food Restaurant,Coffee Shop,Peking Duck Restaurant,Metro Station,Chinese Restaurant,Hostel,Museum,History Museum,Monument / Landmark
800,"Qingpu District, Shanghai China",Coffee Shop,Hotel,Historic Site,National Park,Sporting Goods Shop,Bookstore,Metro Station,Toll Booth,Fast Food Restaurant,Cantonese Restaurant
801,"Queens Village, New York City US",Bank,Bus Stop,Fish Market,Salon / Barbershop,Fried Chicken Joint,Bakery,Mobile Phone Shop,Martial Arts Dojo,Pedestrian Plaza,Donut Shop
802,"Queensboro Hill, New York City US",Chinese Restaurant,Bank,Bakery,Indian Restaurant,Bar,Bagel Shop,Hobby Shop,Park,Pizza Place,Dumpling Restaurant
803,"Queensbridge, New York City US",Hotel,Sandwich Place,Basketball Court,Beer Garden,Scenic Lookout,Spanish Restaurant,Park,Platform,Hotel Bar,Gym / Fitness Center
804,"Rajender Nagar, New Delhi India",Sporting Goods Shop,Arcade,Park,Café,Market,Music Store,Sandwich Place,Field,Financial or Legal Service,Film Studio
805,"Rajouri Garden, New Delhi India",Ice Cream Shop,Market,Train Station,Bakery,Light Rail Station,Cosmetics Shop,Food Truck,BBQ Joint,Gourmet Shop,Film Studio
806,"Rama Krishna Puram, New Delhi India",Coffee Shop,Multiplex,Café,Convenience Store,Thai Restaurant,Comfort Food Restaurant,Pizza Place,Shopping Mall,Asian Restaurant,South Indian Restaurant
807,"Rancho Park, Los Angeles US",Light Rail Station,Pedestrian Plaza,Pilates Studio,Burrito Place,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
808,"Randall Manor, New York City US",Bus Stop,Pizza Place,Park,Playground,Bagel Shop,Fabric Shop,Factory,Eye Doctor,Falafel Restaurant,Fish & Chips Shop
809,"Rani Bagh, New Delhi India",Indian Restaurant,Café,Pizza Place,Department Store,Zoo Exhibit,Farmers Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
810,"Ravenswood, New York City US",Chinese Restaurant,Japanese Restaurant,Indian Restaurant,Fried Chicken Joint,Sushi Restaurant,Food Truck,Taco Place,Café,Food & Drink Shop,Brazilian Restaurant
811,"Red Hill, Brisbane",Indian Restaurant,Salad Place,Fast Food Restaurant,Thai Restaurant,Bakery,Italian Restaurant,Music Store,Convenience Store,Lebanese Restaurant,Beer Store
812,"Red Hook, New York City US",Seafood Restaurant,Art Gallery,Park,Bar,American Restaurant,Farm,Pizza Place,Flower Shop,Wine Shop,Ice Cream Shop
813,"Redcliffs, Christchurch New Zealand",Bay,Gas Station,Convenience Store,Grocery Store,Fabric Shop,Eye Doctor,Factory,Falafel Restaurant,Exhibit,Farm
814,"Redfern, Sydney",Café,Bar,Pub,Coffee Shop,Bakery,Park,Japanese Restaurant,Pizza Place,Thai Restaurant,Lebanese Restaurant
815,"Redwood, Christchurch New Zealand",Stadium,Restaurant,Café,Park,Pizza Place,Farmers Market,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
816,"Rego Park, New York City US",Bakery,Bagel Shop,Pizza Place,Grocery Store,Restaurant,Sushi Restaurant,Sandwich Place,Pharmacy,Martial Arts Dojo,Market
817,"Remsen Village, New York City US",Caribbean Restaurant,Fast Food Restaurant,Fried Chicken Joint,Sandwich Place,Supermarket,Breakfast Spot,Café,Fish Market,Gym,Southern / Soul Food Restaurant
818,"Remuera, Auckland City New Zealand",Café,Park,Gastropub,Convenience Store,Plaza,Chinese Restaurant,Thai Restaurant,Gym Pool,Hotel,Deli / Bodega
819,"Reseda, Los Angeles US",Vietnamese Restaurant,Thai Restaurant,Chinese Restaurant,Bank,Sandwich Place,Fried Chicken Joint,Noodle House,Greek Restaurant,Gym,Mexican Restaurant
820,"Riccarton, Christchurch New Zealand",Fast Food Restaurant,Café,Coffee Shop,Chinese Restaurant,Sporting Goods Shop,Park,Korean Restaurant,Electronics Store,Sushi Restaurant,Vietnamese Restaurant
821,"Richlands, Brisbane",Noodle House,Sandwich Place,Shopping Mall,Fast Food Restaurant,Fish & Chips Shop,Warehouse Store,Football Stadium,Food Truck,Ethiopian Restaurant,Event Service
822,"Richmond Hill, Christchurch New Zealand",Grocery Store,Fast Food Restaurant,Mediterranean Restaurant,Thai Restaurant,Liquor Store,Zoo Exhibit,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant
823,"Richmond Hill, New York City US",Bank,Pizza Place,Lounge,Latin American Restaurant,Discount Store,Clothing Store,Bakery,Gym / Fitness Center,Spanish Restaurant,Caribbean Restaurant
824,"Richmond Town, New York City US",History Museum,Bagel Shop,Spa,Italian Restaurant,Café,Farm,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
825,"Richmond Valley, New York City US",Bank,Mexican Restaurant,Train Station,Smoothie Shop,Fast Food Restaurant,Deli / Bodega,Coffee Shop,Food,Sandwich Place,Falafel Restaurant
826,"Richmond, Christchurch New Zealand",Grocery Store,Fast Food Restaurant,Mediterranean Restaurant,Thai Restaurant,Liquor Store,Zoo Exhibit,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant
827,"Ridgewood, New York City US",Pizza Place,Italian Restaurant,Greek Restaurant,Café,Deli / Bodega,Bakery,Pharmacy,Bank,Grocery Store,Mobile Phone Shop
828,"Riverdale, New York City US",Park,Bank,Bus Station,Plaza,Food Truck,Gym,Baseball Field,Factory,Fabric Shop,Eye Doctor
829,"Riverhills, Brisbane",Tree,Dance Studio,Gym / Fitness Center,Burger Joint,Bus Station,Fabric Shop,Eye Doctor,Factory,Falafel Restaurant,Farm
